Domain Code,Domain,Area Code (ISO3),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
TCL,Crops and livestock products,POL,Poland,"5908",Export quantity,"2121.01",Camels,"2024","2024",An,"230",A,Official figure,
TCL,Crops and livestock products,QAT,Qatar,"5608",Import quantity,"2121.01",Camels,"2024","2024",An,"25700",E,Estimated value,
TCL,Crops and livestock products,QAT,Qatar,"5908",Export quantity,"2121.01",Camels,"2024","2024",An,"4061",X,Figure from external organization,Estimated data using trading partners database
TCL,Crops and livestock products,RUS,Russian Federation,"5608",Import quantity,"2121.01",Camels,"2024","2024",An,"551",X,Figure from external organization,Estimated data using trading partners database
TCL,Crops and livestock products,RUS,Russian Federation,"5908",Export quantity,"2121.01",Camels,"2024","2024",An,"2",X,Figure from external organization,Estimated data using trading partners database
TCL,Crops and livestock products,SAU,Saudi Arabia,"5608",Import quantity,"2121.01",Camels,"2024","2024",An,"234480",A,Official figure,
TCL,Crops and livestock products,SAU,Saudi Arabia,"5908",Export quantity,"2121.01",Camels,"2024","2024",An,"25388",A,Official figure,
TCL,Crops and livestock products,SEN,Senegal,"5608",Import quantity,"2121.01",Camels,"2024","2024",An,"1",A,Official figure,
TCL,Crops and livestock products,SVK,Slovakia,"5908",Export quantity,"2121.02",Other camelids,"2024","2024",An,"2",A,Official figure,
TCL,Crops and livestock products,SOM,Somalia,"5608",Import quantity,"2121.01",Camels,"2024","2024",An,"400",X,Figure from external organization,Estimated data using trading partners database
TCL,Crops and livestock products,SOM,Somalia,"5908",Export quantity,"2121.01",Camels,"2024","2024",An,"185678",X,Figure from external organization,Estimated data using trading partners database
TCL,Crops and livestock products,ZAF,South Africa,"5908",Export quantity,"2121.01",Camels,"2024","2024",An,"146",I,Value imputed by a receiving agency,
TCL,Crops and livestock products,SSD,South Sudan,"5608",Import quantity,"2121.01",Camels,"2024","2024",An,"145",X,Figure from external organization,Estimated data using trading partners database
TCL,Crops and livestock products,SDN,Sudan,"5908",Export quantity,"2121.01",Camels,"2024","2024",An,"92547",I,Value imputed by a receiving agency,
TCL,Crops and livestock products,SWE,Sweden,"5608",Import quantity,"2121.02",Other camelids,"2024","2024",An,"5",A,Official figure,
TCL,Crops and livestock products,CHE,Switzerland,"5608",Import quantity,"2121.02",Other camelids,"2024","2024",An,"23",A,Official figure,
TCL,Crops and livestock products,CHE,Switzerland,"5908",Export quantity,"2121.02",Other camelids,"2024","2024",An,"45",A,Official figure,
TCL,Crops and livestock products,TJK,Tajikistan,"5608",Import quantity,"2121.01",Camels,"2024","2024",An,"139",X,Figure from external organization,Estimated data using trading partners database
TCL,Crops and livestock products,TJK,Tajikistan,"5908",Export quantity,"2121.01",Camels,"2024","2024",An,"1",X,Figure from external organization,Estimated data using trading partners database
TCL,Crops and livestock products,THA,Thailand,"5608",Import quantity,"2121.01",Camels,"2024","2024",An,"6",A,Official figure,
TCL,Crops and livestock products,TGO,Togo,"5608",Import quantity,"2121.01",Camels,"2024","2024",An,"23",A,Official figure,
TCL,Crops and livestock products,UGA,Uganda,"5908",Export quantity,"2121.01",Camels,"2024","2024",An,"145",A,Official figure,
TCL,Crops and livestock products,UKR,Ukraine,"5608",Import quantity,"2121.01",Camels,"2024","2024",An,"14",I,Value imputed by a receiving agency,
TCL,Crops and livestock products,ARE,United Arab Emirates,"5608",Import quantity,"2121.01",Camels,"2024","2024",An,"10108",X,Figure from external organization,Estimated data using trading partners database
TCL,Crops and livestock products,ARE,United Arab Emirates,"5908",Export quantity,"2121.01",Camels,"2024","2024",An,"8851",X,Figure from external organization,Estimated data using trading partners database
TCL,Crops and livestock products,ARE,United Arab Emirates,"5608",Import quantity,"2121.02",Other camelids,"2024","2024",An,"1",X,Figure from external organization,Estimated data using trading partners database
TCL,Crops and livestock products,TZA,United Republic of Tanzania,"5608",Import quantity,"2121.01",Camels,"2024","2024",An,"292",A,Official figure,
TCL,Crops and livestock products,USA,United States of America,"5608",Import quantity,"2121.01",Camels,"2024","2024",An,"9",A,Official figure,
TCL,Crops and livestock products,USA,United States of America,"5908",Export quantity,"2121.01",Camels,"2024","2024",An,"1522",A,Official figure,
TCL,Crops and livestock products,UZB,Uzbekistan,"5608",Import quantity,"2121.01",Camels,"2024","2024",An,"37",A,Official figure,
TCL,Crops and livestock products,UZB,Uzbekistan,"5908",Export quantity,"2121.01",Camels,"2024","2024",An,"139",A,Official figure,
TCL,Crops and livestock products,ZMB,Zambia,"5608",Import quantity,"2121.01",Camels,"2024","2024",An,"624",I,Value imputed by a receiving agency,
TCL,Crops and livestock products,ZMB,Zambia,"5908",Export quantity,"2121.01",Camels,"2024","2024",An,"0",A,Official figure,
